,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
485,Bruma,Forward,27,6.0,Netherlands,Eredivisie,PSV Eindhoven,Turkey,Süper Lig,Fenerbahce,0,True
486,Filip Uremovic,Defender,25,6.0,Russia,1.Division,Rubin Kazan,Germany,Bundesliga,Hertha BSC,0,False
487,Lys Mousset,Forward,26,6.0,England,Championship,Sheffield United,Germany,Bundesliga,VfL Bochum,0,False
488,Ermedin Demirovic,Forward,24,6.0,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,FC Augsburg,0,False
489,Mohamed Daramy,Forward,20,6.0,Netherlands,Eredivisie,Ajax Amsterdam,Denmark,Superligaen,FC Copenhagen,0,True
490,Fabián Balbuena,Defender,30,6.0,Russia,Premier Liga,Dynamo Moscow,Brazil,Série A,Sport Club Corinthians Paulista,0,True
491,Stefan Ortega,Goalkeeper,29,6.0,Germany,2. Bundesliga,Arminia Bielefeld,England,Premier League,Manchester City,0,False
492,Otávio,Midfielder,28,6.0,France,Ligue 2,FC Girondins Bordeaux,Brazil,Série A,Clube Atlético Mineiro,0,False
493,Hannibal,Midfielder,19,6.0,England,Premier League,Manchester United,England,Championship,Birmingham City,0,True
494,Ki-Jana Hoever,Defender,20,6.0,England,Premier League,Wolverhampton Wanderers,Netherlands,Eredivisie,PSV Eindhoven,0,True
495,Sávio,Forward,18,6.0,France,Ligue 1,ESTAC Troyes,Netherlands,Eredivisie,PSV Eindhoven,0,True
496,Nehuén Pérez,Defender,22,6.0,Spain,LaLiga,Atlético de Madrid,Italy,Serie A,Udinese Calcio,0,False
497,Valentino Lazaro,Defender,26,6.0,Italy,Serie A,Inter Milan,Italy,Serie A,Torino FC,0,True
498,Luis Henrique,Forward,20,6.0,France,Ligue 1,Olympique Marseille,Brazil,Série A,Botafogo de Futebol e Regatas,0,True
499,Callum Robinson,Forward,27,6.0,England,Championship,West Bromwich Albion,Wales,Championship,Cardiff City,0,False
500,Aaron Connolly,Forward,22,6.0,England,Premier League,Brighton & Hove Albion,Italy,Serie B,Venezia FC,0,True
501,Zack Steffen,Goalkeeper,27,6.0,England,Premier League,Manchester City,England,Championship,Middlesbrough FC,0,True
502,Konrad de la Fuente,Forward,21,6.0,France,Ligue 1,Olympique Marseille,Greece,Super League 1,Olympiacos Piraeus,0,True
503,Martin Braithwaite,Forward,31,6.0,Spain,LaLiga,FC Barcelona,Spain,LaLiga,RCD Espanyol Barcelona,0,False
504,Alexis Claude-Maurice,Midfielder,24,6.0,France,Ligue 1,OGC Nice,France,Ligue 1,RC Lens,0,True
505,Óscar Mingueza,Defender,23,6.0,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Celta de Vigo,0,False
506,Marin Pongracic,Defender,24,6.0,Germany,Bundesliga,VfL Wolfsburg,Italy,Serie A,US Lecce,0,True
507,Adil Aouchiche,Midfielder,20,6.0,France,Ligue 2,AS Saint-Étienne,France,Ligue 1,FC Lorient,0,False
508,Jordan Amavi,Defender,28,6.0,France,Ligue 1,Olympique Marseille,Spain,LaLiga,Getafe CF,0,True
509,Artem Dzyuba,Forward,33,6.0,Russia,Premier Liga,Zenit St. Petersburg,Turkey,Süper Lig,Adana Demirspor,0,False
510,Mahdi Camara,Midfielder,24,6.0,France,Ligue 2,AS Saint-Étienne,France,Ligue 1,Stade Brestois 29,0,True
511,Vakoun Bayo,Forward,25,3.2,Belgium,Jupiler Pro League,RSC Charleroi,England,Championship,Watford FC,5.8,False
512,Darko Gyabi,Midfielder,18,0,England,Premier League 2,Manchester City U21,England,Premier League 2,Leeds United U21,5.8,False
513,Jean Meneses,Forward,29,3.5,Mexico,Liga MX Clausura,Club León FC,Mexico,Liga MX Clausura,Deportivo Toluca,5.7,False
514,Casper Nielsen,Midfielder,28,5.5,Belgium,Jupiler Pro League,Royale Union Saint Gilloise,Belgium,Jupiler Pro League,Club Brugge KV,7.0,False
515,Isaak Touré,Defender,19,5.0,France,Ligue 2,AC Le Havre,France,Ligue 1,Olympique Marseille,5.5,False
516,Williot Swedberg,Midfielder,18,5.0,Sweden,Allsvenskan,Hammarby IF,Spain,LaLiga,Celta de Vigo,5.5,False
517,Johan Mojica,Defender,30,5.0,Spain,LaLiga,Elche CF,Spain,LaLiga,Villarreal CF,5.5,False
518,Vincent Janssen,Forward,28,2.5,Mexico,Liga MX Clausura,CF Monterrey,Belgium,Jupiler Pro League,Royal Antwerp FC,5.5,False
519,Arne Maier,Midfielder,23,5.5,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,FC Augsburg,5.0,False
520,Florin Tanase,Midfielder,27,5.5,Romania,SuperLiga,FCSB,United Arab Emirates,UAE Pro League,Al-Jazira (Abu Dhabi),3.0,False
521,Martin Erlic,Defender,24,5.5,Italy,Serie A,Spezia Calcio,Italy,Serie A,US Sassuolo,3.0,False
522,Alessandro Florenzi,Defender,31,5.5,Italy,Serie A,AS Roma,Italy,Serie A,AC Milan,2.7,False
523,Sead Haksabanovic,Forward,23,5.5,Russia,1.Division,Rubin Kazan,Scotland,Premiership,Celtic FC,2.5,False
524,Cristian Pavón,Forward,26,5.5,Argentina,Liga Profesional,CA Boca Juniors,Brazil,Série A,Clube Atlético Mineiro,0,False
525,Abdulrahman Ghareeb,Forward,25,3.0,Saudi Arabia,Without League,Al-Ahli SFC,Saudi Arabia,Saudi Pro League,Al-Nassr FC,5.25,False
526,Anthony Modeste,Forward,34,3.0,Germany,Bundesliga,1.FC Köln,Germany,Bundesliga,Borussia Dortmund,5.1,False
527,Kristian Thorstvedt,Midfielder,23,5.0,Belgium,Jupiler Pro League,KRC Genk,Italy,Serie A,US Sassuolo,10.15,False
528,Raphael Onyedika,Midfielder,21,5.0,Denmark,Superligaen,FC Midtjylland,Belgium,Jupiler Pro League,Club Brugge KV,9.5,False
529,Brandon Soppy,Defender,20,5.0,Italy,Serie A,Udinese Calcio,Italy,Serie A,Atalanta BC,9.1,False
530,Andrea Cambiaso,Defender,22,5.0,Italy,Serie B,Genoa CFC,Italy,Serie A,Juventus FC,8.8,False
531,Christopher Martins Pereira,Midfielder,25,5.0,Switzerland,Super League,BSC Young Boys,Russia,Premier Liga,Spartak Moscow,7.0,False
532,Petar Musa,Forward,24,5.0,Portugal,Liga Portugal,Boavista FC,Portugal,Liga Portugal,SL Benfica,5.5,False
533,Oriol Romeu,Midfielder,30,5.0,England,Premier League,Southampton FC,Spain,LaLiga,Girona FC,5.5,False
534,Ko Itakura,Defender,25,5.0,England,Premier League,Manchester City,Germany,Bundesliga,Borussia Mönchengladbach,5.0,False
535,Pablo Torre,Midfielder,19,3.0,Spain,LaLiga2,Racing Santander,Spain,LaLiga,FC Barcelona,5.0,False
536,Igor Paixão,Forward,22,800k,Brazil,Série A,Coritiba Foot Ball Club,Netherlands,Eredivisie,Feyenoord Rotterdam,5.0,False
537,Thomas Henry,Forward,27,5.0,Italy,Serie B,Venezia FC,Italy,Serie A,Hellas Verona,5.0,False
538,Domagoj Bradaric,Defender,22,3.5,France,Ligue 1,LOSC Lille,Italy,Serie A,US Salernitana 1919,5.0,False
539,Federico Bonazzoli,Forward,25,5.0,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Salernitana 1919,5.0,False
540,Adam Masina,Defender,28,3.0,England,Championship,Watford FC,Italy,Serie A,Udinese Calcio,5.0,False
541,Rares Ilie,Forward,19,1.3,Romania,SuperLiga,FC Rapid 1923,France,Ligue 1,OGC Nice,5.0,False
542,Jorge Sánchez,Defender,24,5.0,Mexico,Liga MX Clausura,CF América,Netherlands,Eredivisie,Ajax Amsterdam,5.0,False
543,Aboubakar Kamara,Forward,27,3.5,Greece,Super League 1,Aris Thessaloniki,Greece,Super League 1,Olympiacos Piraeus,5.0,False
544,Salis Abdul Samed,Midfielder,22,3.0,France,Ligue 1,Clermont Foot 63,France,Ligue 1,RC Lens,5.0,False
545,Brice Samba,Goalkeeper,28,2.5,England,Premier League,Nottingham Forest,France,Ligue 1,RC Lens,5.0,False
546,Bruno Tabata,Midfielder,25,4.0,Portugal,Liga Portugal,Sporting CP,Brazil,Série A,Sociedade Esportiva Palmeiras,5.0,False
547,Jurgen Ekkelenkamp,Midfielder,22,3.5,Germany,Bundesliga,Hertha BSC,Belgium,Jupiler Pro League,Royal Antwerp FC,5.0,False
548,Ferran Jutglà,Forward,23,3.0,Spain,Primera Federación - Gr. II,FC Barcelona Atlètic,Belgium,Jupiler Pro League,Club Brugge KV,5.0,False
549,Davide Bettella,Defender,22,2.0,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,5.0,False
550,Luis Milla,Midfielder,27,5.0,Spain,LaLiga2,Granada CF,Spain,LaLiga,Getafe CF,5.0,False
551,Leo Östigard,Defender,22,5.0,England,Premier League,Brighton & Hove Albion,Italy,Serie A,SSC Napoli,5.0,False
552,Calvin Ramsay,Defender,18,5.0,Scotland,Premiership,Aberdeen FC,England,Premier League,Liverpool FC,4.9,False
553,Hélder Costa,Forward,28,5.0,England,Premier League,Leeds United,Saudi Arabia,Saudi Pro League,Al-Ittihad Club,4.8,True
554,Ignatius Ganago,Forward,23,5.0,France,Ligue 1,RC Lens,France,Ligue 1,FC Nantes,4.4,False
555,Johann Lepenant,Midfielder,19,5.0,France,Ligue 2,SM Caen,France,Ligue 1,Olympique Lyon,4.25,False
556,Petar Musa,Forward,24,5.0,Czech Republic,Fortuna Liga,SK Slavia Prague,Portugal,Liga Portugal,Boavista FC,4.25,False
557,Stephen Eustaquio,Midfielder,25,5.0,Portugal,Liga Portugal,FC Paços de Ferreira,Portugal,Liga Portugal,FC Porto,4.21,False
558,Jean Onana,Midfielder,22,5.0,France,Ligue 2,FC Girondins Bordeaux,France,Ligue 1,RC Lens,4.0,False
559,Ezequiel Ponce,Forward,25,5.0,Russia,Premier Liga,Spartak Moscow,Spain,LaLiga,Elche CF,4.0,False
560,Andrea Carboni,Defender,21,5.0,Italy,Serie B,Cagliari Calcio,Italy,Serie A,AC Monza,4.0,False
561,Lincoln,Defender,23,5.0,Portugal,Liga Portugal,CD Santa Clara,Turkey,Süper Lig,Fenerbahce,3.5,False
562,Maxim Leitsch,Defender,24,5.0,Germany,Bundesliga,VfL Bochum,Germany,Bundesliga,1.FSV Mainz 05,3.5,False
563,Jordan Torunarigha,Defender,24,5.0,Germany,Bundesliga,Hertha BSC,Belgium,Jupiler Pro League,KAA Gent,3.5,False
564,Rúben Semedo,Defender,28,5.0,Greece,Super League 1,Olympiacos Piraeus,Qatar,Stars League,Al-Duhail SC,3.5,False
565,Jackson Muleka,Forward,22,5.0,Belgium,Jupiler Pro League,Standard Liège,Turkey,Süper Lig,Besiktas JK,3.35,False
566,Mario Vuskovic,Defender,20,5.0,Croatia,SuperSport HNL,HNK Hajduk Split,Germany,2. Bundesliga,Hamburger SV,3.0,False
567,Pablo Maffeo,Defender,24,5.0,Germany,Bundesliga,VfB Stuttgart,Spain,LaLiga,RCD Mallorca,3.0,False
568,Simon Banza,Forward,25,5.0,France,Ligue 1,RC Lens,Portugal,Liga Portugal,SC Braga,3.0,False
569,Iké Ugbo,Forward,23,5.0,Belgium,Jupiler Pro League,KRC Genk,France,Ligue 1,ESTAC Troyes,3.0,False
570,Josh Cullen,Midfielder,26,5.0,Belgium,Jupiler Pro League,RSC Anderlecht,England,Championship,Burnley FC,3.0,False
571,Roger Martí,Forward,31,5.0,Spain,LaLiga2,Levante UD,Spain,LaLiga,Elche CF,3.0,False
572,Abdülkerim Bardakci,Defender,27,5.0,Turkey,Süper Lig,Konyaspor,Turkey,Süper Lig,Galatasaray,2.8,False
573,Julián Quiñones,Forward,25,5.0,Mexico,Liga MX Clausura,Tigres UANL,Mexico,Liga MX Clausura,Atlas Guadalajara,2.6,False
574,Tonny Vilhena,Midfielder,27,5.0,Russia,Premier Liga,FK Krasnodar,Spain,LaLiga,RCD Espanyol Barcelona,2.5,False
575,Pierre Lees-Melou,Midfielder,29,5.0,England,Championship,Norwich City,France,Ligue 1,Stade Brestois 29,2.3,False
576,Umut Bozok,Forward,25,5.0,France,Ligue 1,FC Lorient,Turkey,Süper Lig,Trabzonspor,2.0,False
577,Jimmy Cabot,Midfielder,28,5.0,France,Ligue 1,Angers SCO,France,Ligue 1,RC Lens,2.0,False
578,Andrea Cambiaso,Defender,22,5.0,Italy,Serie A,Juventus FC,Italy,Serie A,Bologna FC 1909,1.97,True
579,Dominik Kohr,Midfielder,28,5.0,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,1.5,False
580,Lucas Perrin,Defender,23,5.0,France,Ligue 1,Olympique Marseille,France,Ligue 1,RC Strasbourg Alsace,1.5,False
581,Jan Kuchta,Forward,25,5.0,Russia,Premier Liga,Lokomotiv Moscow,Czech Republic,Fortuna Liga,AC Sparta Prague,1.0,True
582,Henry Onyekuru,Forward,25,5.0,Greece,Super League 1,Olympiacos Piraeus,Turkey,Süper Lig,Adana Demirspor,1.0,True
583,Mark-Anthony Kaye,Midfielder,27,5.0,United States,MLS,Colorado Rapids,Canada,MLS,Toronto FC,955k,False
584,Jack Hendry,Defender,27,5.0,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,US Cremonese,600k,True
585,Mathew Ryan,Goalkeeper,30,5.0,Spain,LaLiga,Real Sociedad,Denmark,Superligaen,FC Copenhagen,500k,False
586,Ludwig Augustinsson,Defender,28,5.0,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,500k,True
587,Tonny Vilhena,Midfielder,27,5.0,Spain,LaLiga,RCD Espanyol Barcelona,Italy,Serie A,US Salernitana 1919,300k,True
588,Nemanja Matic,Midfielder,33,5.0,England,Premier League,Manchester United,Italy,Serie A,AS Roma,0,False
589,Junior Dina Ebimbe,Midfielder,21,5.0,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,Eintracht Frankfurt,0,True
590,Rúben Vinagre,Defender,23,5.0,Portugal,Liga Portugal,Sporting CP,England,Premier League,Everton FC,0,True
591,Sepp van den Berg,Defender,20,5.0,England,Premier League,Liverpool FC,Germany,Bundesliga,FC Schalke 04,0,True
592,Sebastiano Esposito,Forward,20,5.0,Italy,Serie A,Inter Milan,Belgium,Jupiler Pro League,RSC Anderlecht,0,True
593,Amos Pieper,Defender,24,5.0,Germany,2. Bundesliga,Arminia Bielefeld,Germany,Bundesliga,SV Werder Bremen,0,False
594,Arthur Masuaku,Defender,28,5.0,England,Premier League,West Ham United,Turkey,Süper Lig,Besiktas JK,0,True
595,Tom Lawrence,Forward,28,5.0,England,League One,Derby County,Scotland,Premiership,Rangers FC,0,False
596,Simone Verdi,Midfielder,30,5.0,Italy,Serie A,Torino FC,Italy,Serie A,Hellas Verona,0,True
597,Aaron Mooy,Midfielder,31,5.0,China,Super League,Shanghai Port,Scotland,Premiership,Celtic FC,0,False
598,Mads Bech Sörensen,Defender,23,5.0,England,Premier League,Brentford FC,France,Ligue 1,OGC Nice,0,True
599,Gabriel Pires,Midfielder,28,5.0,Portugal,Liga Portugal,SL Benfica,Brazil,Série A,Botafogo de Futebol e Regatas,0,True
600,Rodrigo Muniz,Forward,21,5.0,England,Premier League,Fulham FC,England,Championship,Middlesbrough FC,0,True
601,Ronaël Pierre-Gabriel,Defender,24,5.0,Germany,Bundesliga,1.FSV Mainz 05,France,Ligue 1,RC Strasbourg Alsace,0,True
602,Sime Vrsaljko,Defender,30,5.0,Spain,LaLiga,Atlético de Madrid,Greece,Super League 1,Olympiacos Piraeus,0,False
603,Joselu,Forward,32,5.0,Spain,LaLiga2,Deportivo Alavés,Spain,LaLiga,RCD Espanyol Barcelona,0,False
604,Benjamin Lecomte,Goalkeeper,31,5.0,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,RCD Espanyol Barcelona,0,True
605,Sebastian Walukiewicz,Defender,22,5.0,Italy,Serie B,Cagliari Calcio,Italy,Serie A,FC Empoli,0,True
606,Shane Duffy,Defender,30,5.0,England,Premier League,Brighton & Hove Albion,England,Premier League,Fulham FC,0,True
607,Zelimkhan Bakaev,Forward,26,5.0,Russia,Premier Liga,Spartak Moscow,Russia,Premier Liga,Zenit St. Petersburg,0,False
608,Giuseppe Pezzella,Defender,24,5.0,Italy,Serie B,Parma Calcio 1913,Italy,Serie A,US Lecce,0,True
609,Rémi Oudin,Forward,25,5.0,France,Ligue 2,FC Girondins Bordeaux,Italy,Serie A,US Lecce,0,True
610,Jeff Hendrick,Midfielder,30,5.0,England,Premier League,Newcastle United,England,Championship,Reading FC,0,True
611,Gonzalo Villar,Midfielder,24,5.0,Italy,Serie A,AS Roma,Italy,Serie A,UC Sampdoria,0,True
612,Riechedly Bazoer,Midfielder,25,5.0,Netherlands,Eredivisie,Vitesse Arnhem,Netherlands,Eredivisie,AZ Alkmaar,0,False
613,Ian Maatsen,Defender,20,5.0,England,Premier League 2,Chelsea FC U21,England,Championship,Burnley FC,0,True
614,Levi Colwill,Defender,19,5.0,England,Premier League 2,Chelsea FC U21,England,Premier League,Brighton & Hove Albion,0,True
615,Soualiho Meïté,Midfielder,28,5.0,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,US Cremonese,0,True
616,Antonio Blanco,Midfielder,22,5.0,Spain,LaLiga,Real Madrid,Spain,LaLiga,Cádiz CF,0,True
617,Pablo Marí,Defender,28,5.0,England,Premier League,Arsenal FC,Italy,Serie A,AC Monza,0,True
618,Jean Michaël Seri,Midfielder,30,5.0,England,Premier League,Fulham FC,England,Championship,Hull City,0,False
619,Steven Alzate,Midfielder,23,5.0,England,Premier League,Brighton & Hove Albion,Belgium,Jupiler Pro League,Standard Liège,0,True
620,Fernando Pacheco,Goalkeeper,30,5.0,Spain,LaLiga2,Deportivo Alavés,Spain,LaLiga,UD Almería,0,False
621,Yacine Brahimi,Forward,32,5.0,Qatar,Stars League,Al-Rayyan SC,Qatar,Stars League,Al-Gharafa SC,0,False
622,Héctor Herrera,Midfielder,32,5.0,Spain,LaLiga,Atlético de Madrid,United States,MLS,Houston Dynamo FC,0,False
623,Ricardo Goulart,Midfielder,31,5.0,Brazil,Série A,Santos FC,Brazil,Série B,Esporte Clube Bahia,0,False
624,Yan Couto,Defender,20,5.0,England,Premier League,Manchester City,Spain,LaLiga,Girona FC,0,True
625,Marcos Paulo,Forward,21,5.0,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga2,CD Mirandés,0,True
626,David Ospina,Goalkeeper,33,5.0,Italy,Serie A,SSC Napoli,Saudi Arabia,Saudi Pro League,Al-Nassr FC,0,False
627,Carlos Salcedo,Defender,28,5.0,Canada,MLS,Toronto FC,Mexico,Liga MX Clausura,FC Juárez,0,False
628,Anthony Nwakaeme,Forward,33,5.0,Turkey,Süper Lig,Trabzonspor,Saudi Arabia,Saudi Pro League,Al-Fayha FC,0,False
629,Dia Saba,Midfielder,29,4.8,United Arab Emirates,UAE Pro League,Al-Nasr SC (UAE),Turkey,Süper Lig,Sivasspor,0,False
630,Rodrigo Aguirre,Forward,27,2.0,Ecuador,Serie A Segunda Etapa,LDU Quito,Mexico,Liga MX Clausura,CF Monterrey,4.75,False
631,Amar Fatah,Forward,18,350k,Sweden,Allsvenskan,AIK Solna,France,Ligue 1,ESTAC Troyes,4.7,False
632,Berat Özdemir,Midfielder,24,4.7,Turkey,Süper Lig,Trabzonspor,Saudi Arabia,Saudi Pro League,Ettifaq FC,2.44,False
633,Nicolas Moumi Ngamaleu,Forward,28,4.7,Switzerland,Super League,BSC Young Boys,Russia,Premier Liga,Dynamo Moscow,2.0,False
634,Rasmus Højlund,Forward,19,4.5,Austria,Bundesliga,SK Sturm Graz,Italy,Serie A,Atalanta BC,17.2,False
635,Daniel-Kofi Kyereh,Midfielder,26,3.0,Germany,2. Bundesliga,FC St. Pauli,Germany,Bundesliga,SC Freiburg,4.5,False
636,Denis Vavro,Defender,26,3.0,Italy,Serie A,SS Lazio,Denmark,Superligaen,FC Copenhagen,4.5,False
637,Edu Expósito,Midfielder,26,4.0,Spain,LaLiga2,SD Eibar,Spain,LaLiga,RCD Espanyol Barcelona,4.5,False
638,Mateo Cassierra,Forward,25,4.5,Russia,Premier Liga,FC Sochi,Russia,Premier Liga,Zenit St. Petersburg,4.5,False
639,Allahyar Sayyadmanesh,Forward,21,2.5,Turkey,Süper Lig,Fenerbahce,England,Championship,Hull City,4.5,False
640,Gastón Ávila,Defender,20,4.5,Argentina,Liga Profesional,CA Boca Juniors,Belgium,Jupiler Pro League,Royal Antwerp FC,4.4,False
641,Pietro Pellegri,Forward,21,4.5,Monaco,Ligue 1,AS Monaco,Italy,Serie A,Torino FC,4.2,False
642,Jamie Leweling,Forward,21,4.5,Germany,2. Bundesliga,SpVgg Greuther Fürth,Germany,Bundesliga,1.FC Union Berlin,4.0,False
643,Patrick Berg,Midfielder,24,4.5,France,Ligue 1,RC Lens,Norway,Eliteserien,FK Bodø/Glimt,4.0,False
644,Andraz Sporar,Forward,28,4.5,Portugal,Liga Portugal,Sporting CP,Greece,Super League 1,Panathinaikos Athens,3.5,False
645,Luca Kilian,Defender,22,4.5,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,1.FC Köln,2.0,False
646,Ezequiel Bullaude,Midfielder,21,4.5,Argentina,Liga Profesional,CD Godoy Cruz Antonio Tomba,Netherlands,Eredivisie,Feyenoord Rotterdam,2.0,False
647,Moussa Sissoko,Midfielder,32,4.5,England,Championship,Watford FC,France,Ligue 1,FC Nantes,2.0,False
648,Lorenzo Montipò,Goalkeeper,26,4.5,Italy,Serie B,Benevento Calcio,Italy,Serie A,Hellas Verona,1.1,False
649,Tiquinho Soares,Forward,31,4.5,Greece,Super League 1,Olympiacos Piraeus,Brazil,Série A,Botafogo de Futebol e Regatas,1.0,False
650,Christopher Jullien,Defender,29,4.5,Scotland,Premiership,Celtic FC,France,Ligue 1,Montpellier HSC,1.0,False
651,Agustín Rogel,Defender,24,4.5,Argentina,Liga Profesional,Club Estudiantes de La Plata,Germany,Bundesliga,Hertha BSC,400k,False
652,Hiroki Ito,Defender,23,4.5,Japan,J1 League,Júbilo Iwata,Germany,Bundesliga,VfB Stuttgart,400k,False
653,Michael Gregoritsch,Forward,28,4.5,Germany,Bundesliga,FC Augsburg,Germany,Bundesliga,SC Freiburg,0,False
654,Oliver Burke,Forward,25,4.5,England,Championship,Sheffield United,Germany,Bundesliga,SV Werder Bremen,0,False
655,Benjamin Verbic,Forward,28,4.5,Ukraine,Premier Liga,Dynamo Kyiv,Greece,Super League 1,Panathinaikos Athens,0,False
656,Bernard,Forward,29,4.5,United Arab Emirates,UAE Pro League,Sharjah FC,Greece,Super League 1,Panathinaikos Athens,0,False
657,Wylan Cyprien,Midfielder,27,4.5,Italy,Serie B,Parma Calcio 1913,Switzerland,Super League,FC Sion,0,True
658,Junior Sambia,Defender,25,4.5,France,Ligue 1,Montpellier HSC,Italy,Serie A,US Salernitana 1919,0,False
659,Vini Souza,Midfielder,23,4.5,Belgium,Challenger Pro League,Lommel SK,Spain,LaLiga,RCD Espanyol Barcelona,0,True
660,Jordan Beyer,Defender,22,4.5,Germany,Bundesliga,Borussia Mönchengladbach,England,Championship,Burnley FC,0,True
661,Gaël Kakuta,Midfielder,31,4.5,France,Ligue 1,RC Lens,France,Ligue 2,Amiens SC,0,False
662,David Okereke,Forward,24,4.5,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,US Cremonese,0,False
663,Germán Berterame,Forward,23,4.5,Mexico,Liga MX Clausura,Atlético de San Luis,Mexico,Liga MX Clausura,CF Monterrey,0,False
664,Dimitrios Pelkas,Midfielder,28,4.5,Turkey,Süper Lig,Fenerbahce,England,Championship,Hull City,0,True
665,Ilan Kebbal,Midfielder,24,4.5,France,Ligue 1,Stade Reims,France,Ligue 2,Paris FC,0,True
666,Konstantinos Manolas,Defender,31,4.5,Greece,Super League 1,Olympiacos Piraeus,United Arab Emirates,UAE Pro League,Sharjah FC,0,False
667,Gabriel Pirani,Midfielder,20,4.5,Brazil,Série A,Santos FC,Brazil,Série A,Cuiabá Esporte Clube (MT),0,True
668,Omar Khribin,Forward,28,4.5,United Arab Emirates,UAE Pro League,Al-Wahda FC Abu Dhabi,United Arab Emirates,UAE Pro League,FC Shabab Al-Ahli Dubai,0,True
669,Alexandro Bernabéi,Defender,21,3.3,Argentina,Liga Profesional,Club Atlético Lanús,Scotland,Premiership,Celtic FC,4.35,False
670,Gustavo del Prete,Forward,26,3.8,Argentina,Liga Profesional,Club Estudiantes de La Plata,Mexico,Liga MX Clausura,UNAM Pumas,4.3,False
671,Can Bozdogan,Midfielder,21,4.3,Germany,Bundesliga,FC Schalke 04,Netherlands,Eredivisie,FC Utrecht,500k,True
672,Nicolás Marichal,Defender,21,1.0,Uruguay,Primera División Clausura,Club Nacional,Russia,Premier Liga,Dynamo Moscow,4.2,False
673,Pablo Solari,Forward,21,1.8,Chile,Primera División,CSD Colo Colo,Argentina,Liga Profesional,CA River Plate,4.2,False
674,Stefano Denswil,Defender,29,4.2,Italy,Serie A,Bologna FC 1909,Turkey,Süper Lig,Trabzonspor,0,False
675,Veljko Birmancevic,Forward,24,3.5,Sweden,Allsvenskan,Malmö FF,France,Ligue 1,FC Toulouse,4.1,False
676,Bosko Sutalo,Defender,22,3.0,Italy,Serie A,Atalanta BC,Croatia,SuperSport HNL,GNK Dinamo Zagreb,4.05,False
677,Brian Rodríguez,Forward,22,4.0,United States,MLS,Los Angeles FC,Mexico,Liga MX Clausura,CF América,5.97,False
678,Janis Antiste,Forward,20,4.0,Italy,Serie A,Spezia Calcio,Italy,Serie A,US Sassuolo,5.68,False
679,Jens Stage,Midfielder,25,3.5,Denmark,Superligaen,FC Copenhagen,Germany,Bundesliga,SV Werder Bremen,4.0,False
680,Hugo Cuypers,Forward,25,3.0,Belgium,Jupiler Pro League,KV Mechelen,Belgium,Jupiler Pro League,KAA Gent,4.0,False
681,Santiago Gimenez,Forward,21,4.0,Mexico,Liga MX Clausura,CD Cruz Azul,Netherlands,Eredivisie,Feyenoord Rotterdam,4.0,False
682,Filippo Melegoni,Midfielder,23,2.0,Italy,Serie A,Atalanta BC,Italy,Serie B,Genoa CFC,4.0,False
683,Juan Cabal,Defender,21,800k,Colombia,Liga DIMAYOR II,Atlético Nacional,Italy,Serie A,Hellas Verona,4.0,False
684,Jaka Bijol,Defender,23,3.5,Russia,Premier Liga,CSKA Moscow,Italy,Serie A,Udinese Calcio,4.0,False
685,Enzo Ebosse,Defender,23,2.0,France,Ligue 1,Angers SCO,Italy,Serie A,Udinese Calcio,4.0,False
686,Michel Aebischer,Midfielder,25,3.5,Switzerland,Super League,BSC Young Boys,Italy,Serie A,Bologna FC 1909,4.0,False
687,Alan Virginius,Forward,19,2.0,France,Ligue 2,FC Sochaux-Montbéliard,France,Ligue 1,LOSC Lille,4.0,False
688,Benson Manuel Hedilazio,Forward,25,3.0,Belgium,Jupiler Pro League,Royal Antwerp FC,England,Championship,Burnley FC,4.0,False
689,Anass Zaroury,Forward,21,1.2,Belgium,Jupiler Pro League,RSC Charleroi,England,Championship,Burnley FC,4.0,False
690,Nicolás Fernández Mercau,Defender,22,2.5,Argentina,Liga Profesional,CA San Lorenzo de Almagro,Spain,LaLiga,Elche CF,4.0,False
691,André Silva,Forward,25,1.2,Portugal,Liga Portugal,FC Arouca,Portugal,Liga Portugal,Vitória Guimarães SC,4.0,False
692,Dogukan Sinik,Forward,23,4.0,Turkey,Süper Lig,Antalyaspor,England,Championship,Hull City,4.0,False
693,Martin Hongla,Midfielder,24,4.0,Belgium,Jupiler Pro League,Royal Antwerp FC,Italy,Serie A,Hellas Verona,3.7,False
694,Marcus Forss,Forward,23,4.0,England,Premier League,Brentford FC,England,Championship,Middlesbrough FC,3.6,False
